"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","CeeDee Lamb","WR","DAL","11.7","25.3","10.2","14.8","8.9","18.7","BYE","41","28.1","39.5","16.5","17.3","32.6","19.1","18.6","25.2","40.2","35.5","23.7","403.2"
"2","Tyreek Hill","WR","MIA","44.5","15","30.7","10.2","32.1","28.3","25.8","25.2","12.5","BYE","30.6","25.4","32.3","10.1","-","18.9","13.6","21.2","23.5","376.4"
"3","Amon-Ra St. Brown","WR","DET","19.1","14.2","19.6","16.6","-","30.4","23.2","16.8","BYE","30.5","21.7","18.5","12.9","5.1","24.2","28.6","22.1","27.4","20.7","330.9"
"4","Puka Nacua","WR","LAR","21.9","30.1","12.2","31.3","20.1","6.6","23.4","7.3","6.2","BYE","18.7","6.7","23.9","14","10.3","33","18.7","14.1","17.6","298.5"
"5","A.J. Brown","WR","PHI","14.9","6.9","22.1","38.5","18.7","20.1","29.7","33","19.6","BYE","1.8","14.7","19.4","16.4","10.6","14","9.3","-0.1","17","289.6"
"6","DJ Moore","WR","CHI","4.5","16.4","13.1","27.1","49","10.1","13.4","9.5","5.4","10.9","22.6","22.4","BYE","26.8","9.2","4.8","30.9","10.4","16.9","286.5"
"7","Mike Evans","WR","TB","18.6","29.1","17","7","BYE","8.9","20.2","12.9","12.7","26.3","15.3","25","29.2","1.8","15.7","27.6","10","5.2","16.6","282.5"
"8","Keenan Allen","WR","LAC","14.2","31.1","45.5","12.2","BYE","21.5","9.5","14.9","15.7","40.5","27.6","22.6","10.8","12.8","-","-","-","-","21.5","278.9"
"9","Stefon Diggs","WR","NE","26.2","13.6","19.1","36","24.1","20","17.8","16","22.6","6.4","6.7","19.4","-","6.4","8.8","7.9","7.1","15.7","16.1","273.8"
"10","Davante Adams","WR","LAR","12.6","20.4","42.2","15.5","8.5","4.9","12.7","2.1","7.4","14.6","21.2","12.3","-","12.3","24.1","1.4","37.6","15.6","15.6","265.4"
"11","Ja'Marr Chase","WR","CIN","9.1","8.1","26.1","14.3","52.2","14","BYE","25.2","8.1","23.4","9.2","12.1","31.6","5.9","10.4","-","7.1","5.9","16.4","262.7"
"12","Nico Collins","WR","HOU","14","27.6","5.4","35.8","6.9","12","BYE","7","14.4","-","13.5","23.4","34.1","2.3","-","13.8","15.7","34.5","17.4","260.4"
"13","Michael Pittman Jr.","WR","IND","23.7","13.6","16.7","4.5","10.2","19.9","16.3","18","14.4","16.4","BYE","20.7","27.5","19.5","11.8","-","9.6","7.4","15.6","250.2"
"14","Brandon Aiyuk","WR","SF","32.9","7.3","-","20.8","9.8","11.6","10.7","15.9","BYE","14.5","26.6","13","15.6","16.6","6.7","17.3","24.4","5.5","15.6","249.2"
"15","Deebo Samuel Sr.","WR","WAS","11.3","22.1","25.1","0.6","11.5","1.1","-","-","-","15.9","9.2","22.4","35.8","34","21.9","9.4","18.2","5.2","16.2","243.7"
"16","Chris Olave","WR","NO","19.2","14.6","18.4","1.4","9.2","16.6","12.7","9.6","16.6","21.4","BYE","18.4","16.9","12.8","-","23.3","5.6","14.6","14.5","231.3"
"17","Adam Thielen","WR","CAR","3.2","20.4","31.5","15.2","27.7","28.5","BYE","15.2","7.9","10.2","15.4","1.2","5.5","12.4","8.3","15.4","9.8","3.2","13.6","231"
"18","Calvin Ridley","WR","TEN","24.1","5.2","7","11.8","20.6","6.6","1.5","14.3","-","4","31.1","21.9","7.3","9.3","8.9","25.8","7.9","22.6","13.5","229.9"
"19","DeVonta Smith","WR","PHI","17.7","23.1","6.8","14.8","1.6","9.4","8.9","22.9","14.1","BYE","15.9","23.6","24.6","10.3","10","17.9","6","-","14.2","227.6"
"20","Amari Cooper","WR","FA","6.7","16","24.6","2.6","-","14.8","4.2","14.9","24.9","15.8","7.4","3.6","6.4","12.7","20.9","51.5","-","-","15.1","227"
"21","DK Metcalf","WR","PIT","13.7","13.5","17.2","12.4","-","10.9","-","11.7","6","16.8","20.4","6.2","37.4","13.2","12.8","15.6","15.6","2","14.1","225.4"
"22","DeAndre Hopkins","WR","BAL","13.5","8","7.8","10.3","22","3","-","34.8","10.5","5.7","15.9","7.9","18.9","25.4","4.1","4","14.2","17.6","13.2","223.6"
"23","Jordan Addison","WR","MIN","16.1","16.2","11.2","0","18.4","11.8","31.3","21.4","10.2","10.9","7.4","9.9","BYE","4.7","29.1","1.2","5.8","15.7","13","221.3"
"24","Jakobi Meyers","WR","LV","29.1","-","15.5","5.3","20.5","17.1","18","2.9","13.5","4.1","8.9","20.1","BYE","7.5","15.7","7.2","11.6","21.6","13.7","218.6"
"25","Jayden Reed","WR","GB","6.6","19.7","9.3","10.5","1.7","BYE","11.1","12.3","7","19.4","19.2","15","5.6","20.5","17.2","-","26.9","15.2","13.6","217.2"
"26","Garrett Wilson","WR","NYJ","14.4","16.3","9.8","15","8.4","17","BYE","17.6","13","18.3","0.9","17.4","8","20.1","5.9","15.8","9.9","5.4","12.5","213.2"
"27","Rashee Rice","WR","KC","11.6","4","10.9","6.2","13.3","11.2","17","9.6","9.7","BYE","8.2","24.7","14.4","18.2","24.1","11.7","17.7","-","13.3","212.5"
"28","Chris Godwin","WR","TB","10.1","10.8","8.2","19.4","BYE","13.7","12.6","17.8","3.6","9.4","9.9","7.5","7.9","10.3","25.5","13.9","17.1","11.5","12.3","209.2"
"28","Terry McLaurin","WR","WAS","5.1","16.4","10.1","22.6","8.9","14.1","15","17.3","12.3","7.3","9.3","9","0","BYE","26.1","8","16.1","11.6","12.3","209.2"
"30","George Pickens","WR","DAL","8.6","22.7","11.5","5.5","26.6","-","15.7","9.2","1.9","7.5","7.7","8.8","12.6","6.9","7.7","35.5","20.1","0.3","12.3","208.8"
"31","Zay Flowers","WR","BAL","17.7","10.8","13","8","12.3","17.1","11.5","6.9","2.1","12.3","8","23.2","BYE","20","1.7","22.2","19.6","-","12.9","206.4"
"32","Tyler Lockett","WR","TEN","3","25.9","8.4","9.4","-","15.4","7.8","22.1","6.2","23.2","10.1","6","9.7","14.9","5.1","16.1","2","17.1","11.9","202.4"
