"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"10","3 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"10","2 out of 5 stars","+1"
"3",1,"Justin Jefferson",MIN,"6","2 out of 5 stars","-1"
"4",2,"Malik Nabers",NYG,"14","2 out of 5 stars","+1"
"5",2,"Puka Nacua",LAR,"8","3 out of 5 stars","-1"
"6",2,"Amon-Ra St. Brown",DET,"8","3 out of 5 stars","0"
"7",2,"Nico Collins",HOU,"6","4 out of 5 stars","0"
"8",2,"Brian Thomas Jr.",JAC,"8","4 out of 5 stars","0"
"9",2,"Drake London",ATL,"5","3 out of 5 stars","+1"
"10",3,"A.J. Brown",PHI,"9","3 out of 5 stars","-1"
"11",3,"Ladd McConkey",LAC,"12","3 out of 5 stars","0"
"12",3,"Jaxon Smith-Njigba",SEA,"8","3 out of 5 stars","+2"
"13",3,"Garrett Wilson",NYJ,"9","4 out of 5 stars","+2"
"14",3,"Tyreek Hill",MIA,"12","3 out of 5 stars","-2"
"15",3,"Tee Higgins",CIN,"10","3 out of 5 stars","-2"
"16",3,"Davante Adams",LAR,"8","3 out of 5 stars","0"
"17",4,"Mike Evans",TB,"9","3 out of 5 stars","+1"
"18",4,"Marvin Harrison Jr.",ARI,"8","4 out of 5 stars","+1"
"19",4,"DJ Moore",CHI,"5","2 out of 5 stars","+1"
"20",4,"Terry McLaurin",WAS,"12","3 out of 5 stars","-3"
"21",4,"DK Metcalf",PIT,"5","4 out of 5 stars","0"
"22",4,"Courtland Sutton",DEN,"12","3 out of 5 stars","+1"
"23",4,"DeVonta Smith",PHI,"9","3 out of 5 stars","+1"
"24",4,"Tetairoa McMillan",CAR,"14","4 out of 5 stars","+5"
"25",4,"Jaylen Waddle",MIA,"12","3 out of 5 stars","+7"
"26",4,"Rashee Rice",KC,"10","3 out of 5 stars","-4"
"27",4,"Zay Flowers",BAL,"7","3 out of 5 stars","-1"
"28",5,"Xavier Worthy",KC,"10","3 out of 5 stars","-3"
"29",5,"George Pickens",DAL,"10","2 out of 5 stars","+1"
"30",5,"Jameson Williams",DET,"8","3 out of 5 stars","-3"
"31",5,"Chris Olave",NO,"11","4 out of 5 stars","+4"
"32",5,"Calvin Ridley",TEN,"10","4 out of 5 stars","-1"
"33",5,"Travis Hunter",JAC,"8","4 out of 5 stars","-5"
"34",5,"Jerry Jeudy",CLE,"9","2 out of 5 stars","-1"
"35",5,"Stefon Diggs",NE,"14","3 out of 5 stars","+3"
"36",5,"Rome Odunze",CHI,"5","2 out of 5 stars","0"
"37",5,"Jakobi Meyers",LV,"8","4 out of 5 stars","+4"
"38",5,"Chris Godwin",TB,"9","3 out of 5 stars","-4"
"39",6,"Khalil Shakir",BUF,"7","3 out of 5 stars","+3"
"40",6,"Jauan Jennings",SF,"14","4 out of 5 stars","+3"
"41",6,"Jordan Addison",MIN,"6","2 out of 5 stars","-4"
"42",6,"Josh Downs",IND,"11","4 out of 5 stars","+8"
"43",6,"Ricky Pearsall",SF,"14","4 out of 5 stars","+2"
"44",6,"Deebo Samuel Sr.",WAS,"12","3 out of 5 stars","-4"
"45",6,"Michael Pittman Jr.",IND,"11","4 out of 5 stars","+6"
"46",6,"Jayden Reed",GB,"5","2 out of 5 stars","0"
"47",6,"Cooper Kupp",SEA,"8","3 out of 5 stars","-8"
"48",6,"Emeka Egbuka",TB,"9","3 out of 5 stars","-1"
